Date,Title
10/26/2012,Vertical Atmospheric Structure in a Variable Brown Dwarf: Pressure-dependent Phase Shifts in Simultaneous HST-Spitzer Light Curves
10/25/2012,Detection of Low Mass-ratio Stellar Binary Systems
10/25/2012,Direct Imaging Confirmation and Characterization of a Dust-Enshrouded Candidate Exoplanet Orbiting Fomalhaut
10/25/2012,New Hubble Space Telescope Observations of Heavy Elements in Four Metal-Poor Stars
10/25/2012,Replacing standard galaxy profiles with mixtures of Gaussians
10/24/2012,Maximum synchrotron frequency for shock-accelerated particles
10/17/2012,Astrometric determination of white dwarf radial velocities with Gaia?
10/16/2012,HII Region Driven Galactic Bubbles and Their Relationship to the Galactic Magnetic Field
09/17/2012,A near infrared frequency comb for Y+J band astronomical spectroscopy
09/14/2012,Evidence for a wide range of UV obscuration in z ~ 2 dusty galaxies from the GOODS-Herschel survey
09/06/2012,White Dwarf/M Dwarf Binaries as Single Degenerate Progenitors of Type Ia Supernovae
08/31/2012,Resolved Magnetic Field Mapping of a Molecular Cloud Using GPIPS
08/14/2012,A Gravitational Redshift Determination of the Mean Mass of White Dwarfs. DBA and DB Stars
06/14/2012,"Spatially resolved stellar, dust and gas properties of the post-interacting Whirlpool Galaxy system"
06/14/2012,Ionized Gas in the Galactic Center: New Observations and Interpretation
06/13/2012,Camera for QUasars in EArly uNiverse (CQUEAN)
06/13/2012,Effects of Rotationally-Induced Mixing in Compact Binary Systems with Low-Mass Secondaries and in Single Solar-Type Stars
06/13/2012,Observed luminosity spread in young clusters and Fu Ori stars: a unified picture
06/07/2012,A Herschel Survey of Cold Dust in Disks Around Brown Dwarfs and Low-Mass Stars
06/06/2012,[S IV] in the NGC 5253 Supernebula: Ionized Gas Kinematics at High Resolution
06/06/2012,Near-IR Variability in Young Stars in Cygnus OB7
06/01/2012,"Two Pseudobulges in the ""Boxy Bulge"" Galaxy NGC 5746"
05/29/2012,How accurately can we measure the hydrogen 2S->1S transition rate from the cosmological data?
